Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	AA sequence #no EMBL#	NT sequence #no EMBL#	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Essential_gene_Lethal_knockout	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Full_citation	Author_email	Comments	Reference 	Year_published	Curation details	File_name_pdf_files_provided	_batch_no_	Curated(Month/Year)	_curator_organisation_	__lab__	__FG_mycotoxin__	Additional IdentifierTypeOfGeneLocusID	Additional GeneLocusID	Anti-infective (Chemical)	Compound	Target site	Group name	Chemical group	Mode in planta	FRAC CODE	Additional comments  on anti-infectives	phi3_pars											
Record 3264	PHI:2642	Uniprot	D0Z9I9	Genbank	ACY84965			EIB202	FliC	no data found					no	498217	Edwardsiella tarda	no data found	H1	Edwardsiellosis	Bony fishes	7955	Danio rerio (related: Zebrafish)	no data found			no data found	Flagellin Protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23024793	Pubmed	10.1 371/journal.pone. 0045070	na	xhzh ang@ouc.edu.c n	no comments	Y He 2013	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3265	PHI:2643	Uniprot	A4HTK3	Genbank	CAM65755			JPCM5	CFAS	Chromosome 8					no	5671	Leishmania infantum	435258	JPCM5	Leishmaniasis	Rodents	10090	Mus musculus (related: House mouse)	BALB/c			liver; spleen	Cyclopropane fatty acid synthetase	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23251490	Pubmed	10.1371/journal .pone.0051300	na	deborah.smith@york .ac.uk	"The complemented strain grew well, but the attentuated virulence was not restored to wild type"	S O Oyola 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3266	PHI:2644	Uniprot	P0AA28	Genbank	BAA00903  			LT2	thioredoxin 1	no data found					no	28901	Salmonella enterica	1114957	serovar Typhimurium 14028	Food poisoning	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)	N2			no data found	Redox activity	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	Ascorbic acid; Chloramphenicol; Cupric chloride anhydrous	Ascorbic acid: 50-81-7 ; Chloramphenicol: 56-75-7; Cupric chloride anhydrous: 7447-39-4	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23028994	Pubmed	10.1371/journal.pone.0045417	na	Mikae l.Rhen@ki.s e	Ascorbic acid and chloramphenicol reduced the effects of pathogenicity of the mutants	X Sem 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3267	PHI:2644	Uniprot	P0AA28	Genbank	BAA00903  			LT2	thioredoxin 1	no data found					no	28901	Salmonella enterica	1114957	serovar Typhimurium 14028	Food poisoning	Nematodes	6239	Caenorhabditis elegans (related: Roundworm)	N2			no data found	Redox activity	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	Ascorbic acid; Chloramphenicol; Cupric chloride anhydrous	Ascorbic acid: 50-81-7 ; Chloramphenicol: 56-75-7; Cupric chloride anhydrous: 7447-39-4	no data found			no data found	Chemical complementation		na	RP	23028994	Pubmed	10.1371/journal.pone.0045417	na	Mikae l.Rhen@ki.s e	"Virulence of the thioredoxin 1 mutant was restored by trans -complementation with redox-active variants of thioredoxin 1 or, surprisingly, by exposing the thioredoxin 1 mutant to sublethal concentrations of the disulphide catalyst copper chloride prior to infection"	X Sem 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3268	PHI:2645	Uniprot	Q7WP75	Genbank	CAE31309			RB50	ClpV	no data found					no	518	Bordetella bronchiseptica	257310	RB50	Bordetellosis	Rodents	10090	Mus musculus (related: House mouse)	C57BL/6			nasal cavity; trachea; lungs	Translocation of T6SS effector proteins essential for virulence	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23071529	Pubmed	10.1 3 71/journal.p one.0045892	na	Harvil l@psu.edu	no comments	L S Weyrich 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3269	PHI:2646	Uniprot	E0IWR8	Genbank	ADT75274 			W	MliC	no data found					no	562	Escherichia coli	no data found	CH2	"Colibacillosis, cellulitis and swollen head syndrome"	Birds	9031	Gallus gallus (related: Chicken)	no data found			no data found	Lysozyme inhibitor	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23049900	Pubmed	10.1 3 71/journal.po ne.0045954	na	Chris. Michiels@b iw.kuleuven.be	no comments	L Vanderkelen 2012	2012	Multi genes	Free access from PubMed	Batch022	02/2013	MC																								
Record 3270	PHI:2647	Uniprot	A1A7T3	Genbank	ABI99722			APEC O1	ivy	no data found					no	562	Escherichia coli	no data found	CH2	"Colibacillosis, cellulitis and swollen head syndrome"	Birds	9031	Gallus gallus (related: Chicken)	no data found			no data found	Lysozyme inhibitor	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23049900	Pubmed	10.1 3 71/journal.po ne.0045954	na	Chris. Michiels@b iw.kuleuven.be	no comments	L Vanderkelen 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3271	PHI:2648	Uniprot	P76002	Genbank	NP_415696			K-12 substr. MG1655	pliG	no data found					no	562	Escherichia coli	no data found	CH2	"Colibacillosis, cellulitis and swollen head syndrome"	Birds	9031	Gallus gallus (related: Chicken)	no data found			no data found	Lysozyme inhibitor	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23049900	Pubmed	10.1 3 71/journal.po ne.0045954	na	Chris. Michiels@b iw.kuleuven.be	no comments	L Vanderkelen 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3272	PHI:2646	Uniprot	E0IWR8	Genbank	ADT75274 			W	MliC	no data found					PHI:2647	562	Escherichia coli	no data found	CH2	"Colibacillosis, cellulitis and swollen head syndrome"	Birds	9031	Gallus gallus (related: Chicken)	no data found			no data found	Lysozyme inhibitor	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23049900	Pubmed	10.1 3 71/journal.po ne.0045954	na	Chris. Michiels@b iw.kuleuven.be	no comments	L Vanderkelen 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3273	PHI:2647	Uniprot	A1A7T3	Genbank	ABI99722			APEC O1	ivy	no data found					PHI:2646	562	Escherichia coli	no data found	CH2	"Colibacillosis, cellulitis and swollen head syndrome"	Birds	9031	Gallus gallus (related: Chicken)	no data found			no data found	Lysozyme inhibitor	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23049900	Pubmed	10.1 3 71/journal.po ne.0045954	na	Chris. Michiels@b iw.kuleuven.be	no comments	L Vanderkelen 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3274	PHI:2649	Uniprot	Q5ALT5	Genbank	EAL03648 			SC5314	Msb2	chromosome 2					no	5476	Candida albicans	no data found	CAI4	Oral candidiasis	Rodents	10090	Mus musculus (related: House mouse)	no data found			tongue; hypoglossal tissue	Mucin	no data found	no data found	Cek1 MAPK pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	aberrant	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23139737	Pubmed	 10.1371/journal.pone.0046020	na	edgerto@buffalo. edu	no comments	S Puri 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3275	PHI:2650	Uniprot	B5R579	Genbank	CAR34083			P125109	BamB	no data found					no	149539	Salmonella enteritidis	1147754	LA5	Salmonellosis	Rodents	10090	Mus musculus (related: House mouse)	BALB/c			spleen	Folding and insertion of b -barrel proteins in the outer membrane of Gram-negative bacteria is mediated by the BAM complex	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	Vancomycin; Rifampin; Erythromycin; Novobiocin; Bacitracin	Vancomycin: 1404-90-6; Rifampin: 13292-46-1; Erythromycin: 114-07-8; Novobiocin: 303-81-1; Bacitracin: 1405-87-4	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23144780	Pubmed	10.1371/journal.pone.0046050	na	ipayant@tours.inra. fr	The deletion mutant does not show any enhanced susceptibility to antibiotics	F Namdari 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3276	PHI:2650	Uniprot	B5R579	Genbank	CAR34083			P125109	BamB	no data found					no	149539	Salmonella enteritidis	1147754	LA5	Salmonellosis	Rodents	10090	Mus musculus (related: House mouse)	BALB/c			spleen	Folding and insertion of b -barrel proteins in the outer membrane of Gram-negative bacteria is mediated by the BAM complex	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	Vancomycin; Rifampin; Erythromycin; Novobiocin; Bacitracin	Vancomycin: 1404-90-6; Rifampin: 13292-46-1; Erythromycin: 114-07-8; Novobiocin: 303-81-1; Bacitracin: 1405-87-4	no data found			no data found	Gene mutation: characterised		na	RP	23144780	Pubmed	10.1371/journal.pone.0046050	na	ipayant@tours.inra. fr	The deletion mutant does not show any enhanced susceptibility to antibiotics	F Namdari 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3277	PHI:2651	Uniprot	Q8ZQ52	Genbank	AAL20029 			LT2	yedX	no data found					no	28901	Salmonella enterica	216597	serovar Typhimurium SL1344	Food poisoning	Rodents	10090	Mus musculus (related: House mouse)	C57BL6			liver; spleen	Cyclic amidohydrolase that hydrolyses 5-hydroxyisourate (5-HIU)	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	no data found			no data found	Gene disruption		na	RP	23284609	Pubmed	10.1371/journal.pone.0046675	na	rastru@unimelb.edu.au	no comments	S C Hennebry 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3278	PHI:2651	Uniprot	Q8ZQ52	Genbank	AAL20029 			LT2	yedX	no data found					no	28901	Salmonella enterica	216597	serovar Typhimurium SL1344	Food poisoning	Birds	9031	Gallus gallus (related: Chicken)	no data found			liver; spleen	Cyclic amidohydrolase that hydrolyses 5-hydroxyisourate (5-HIU)	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	no data found			no data found	Gene disruption		na	RP	23284609	Pubmed	10.1371/journal.pone.0046675	na	rastru@unimelb.edu.au	The bacterial load detected in the faeces of mutant infected chickens was significantly reduced when compared to the load of S. Typhimurium SL1344. Thus affecting dissemination	S C Hennebry 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3279	PHI:2652	Uniprot	Q5KQZ9	Genbank	BAD86762			NTUH-K2044	magA	no data found					no	573	Klebsiella pneumoniae	484021	NTUH-K2044	"Urinary tract infections, nosocomial pneumonia, intra-abdominal infections"	Rodents	10090	Mus musculus (related: House mouse)	BALB/cBy			no data found	Contributes to K1 capsular polysaccharide (CPS) biosynthesis	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	no data found			no data found	Gene mutation: characterised		na	RP	23118860	Pubmed	10.1371/journal.pone.0046783	na	wangjt@ntu.edu.tw	no comments	Tzu-Lung Lin 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3280	PHI:2653	Uniprot	G2Y3E7	Genbank	CCD47187 			T4	bcvel1	no data found					no	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	3885	Phaseolus vulgaris (related: String bean)	90598			leaves	Regulatory protein linking light signals with development and secondary metabolism	no data found	no data found	no data found	Reduced virulence	aberrant	no	no data found	yes	no data found	increased; aberrant	wild type	wild type	wild type	no	Hydrogen peroxide	7722-84-1	Nuclei			no data found	Gene deletion: full; Gene complementation		na	RP	23118899	Pubmed	10.1371/journal.pone.0047840	na	Bettina.Tudzynski@uni-muenster.de	bcvel1 mutant were significantly affected when the strains were grown on medium supplemented with 7.5 M hydrogen peroxide in continuous light	Julia Schumacher 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3281	PHI:2653	Uniprot	G2Y3E7	Genbank	CCD47187 			T4	bcvel1	no data found					no	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	3702	Arabidopsis thaliana (related: Thale cress)	Col-0			leaves	Regulatory protein linking light signals with development and secondary metabolism	no data found	no data found	no data found	Reduced virulence	aberrant	no	no data found	yes	no data found	increased; aberrant	wild type	wild type	wild type	no	Hydrogen peroxide	7722-84-1	Nuclei			no data found	Gene deletion: full; Gene complementation		na	RP	23118899	Pubmed	10.1371/journal.pone.0047840	na	Bettina.Tudzynski@uni-muenster.de	bcvel1 mutant were significantly affected when the strains were grown on medium supplemented with 7.5 M hydrogen peroxide in continuous light	Julia Schumacher 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3282	PHI:2653	Uniprot	G2Y3E7	Genbank	CCD47187 			T4	bcvel1	no data found					no	40559	Botrytis cinerea	332648	B05.10	Grey mould	Eudicots	29760	Vitis vinifera (related: Wine grape)	Thompson Seedless			berries	Regulatory protein linking light signals with development and secondary metabolism	no data found	no data found	no data found	Reduced virulence	aberrant	no	no data found	yes	no data found	increased; aberrant	wild type	wild type	wild type	no	Hydrogen peroxide	7722-84-1	Nuclei			no data found	Gene deletion: full; Gene complementation		na	RP	23118899	Pubmed	10.1371/journal.pone.0047840	na	Bettina.Tudzynski@uni-muenster.de	bcvel1 mutant were significantly affected when the strains were grown on medium supplemented with 7.5 M hydrogen peroxide in continuous light	Julia Schumacher 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3283	PHI:2654	Uniprot	Q59VF3	Genbank	EAK94485			SC5314	"DUR1,2"	Chromosome 1					no	5476	Candida albicans	no data found	A72	Disseminated candidiasis	Rodents	10090	Mus musculus (related: House mouse)	BALB/c			kidney; brain	Urea metabolism	no data found	no data found	"IL-1 inflammatory pathway, IL-15 signaling, MAP kinase signaling, and the alternative complement pathway"	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	reduced	wild type	no	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23144764	Pubmed	10.1371/journal.pone.0048475	na	drobe rts@helix.nih. gov	no comments	D H M L P N varathna 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3284	PHI:2655	Uniprot	K1C7N5	Genbank	EKA39411			ATCC700888	lon	no data found					no	287	Pseudomonas aeruginosa	no data found	H103	Nosocomial infections	Rodents	10090	Mus musculus (related: House mouse)	CD-1			lungs	Cytoplasmic serine protease	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no	no data found	no data found	no data found			no data found	Gene mutation: characterised		na	RP	23145092	Pubmed	10.1371/journal.pone.0049123	na	 bob@hancocklab.com	no comments	E B M Breidenstein 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3285	PHI:2655	Uniprot	K1C7N5	Genbank	EKA39411			ATCC700888	lon	no data found					no	287	Pseudomonas aeruginosa	652611	PA14	Nosocomial infections	Rodents	10090	Mus musculus (related: House mouse)	CD-1			lungs	Cytoplasmic serine protease	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no	no data found	no data found	no data found			no data found	Gene mutation: characterised		na	RP	23145092	Pubmed	10.1371/journal.pone.0049123	na	 bob@hancocklab.com	no comments	E B M Breidenstein 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3286	PHI:2655	Uniprot	K1C7N5	Genbank	EKA39411			ATCC700888	lon	no data found					no	287	Pseudomonas aeruginosa	no data found	H103	Nosocomial infections	Rodents	10114	Rattus (related: Rat)	no data found			lungs	Cytoplasmic serine protease	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no	no data found	no data found	no data found			no data found	Gene mutation: characterised		na	RP	23145092	Pubmed	10.1371/journal.pone.0049123	na	 bob@hancocklab.com	no comments	E B M Breidenstein 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3287	PHI:2655	Uniprot	K1C7N5	Genbank	EKA39411			ATCC700888	lon	no data found					no	287	Pseudomonas aeruginosa	652611	PA14	Nosocomial infections	Rodents	10114	Rattus (related: Rat)	no data found			lungs	Cytoplasmic serine protease	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no	no data found	no data found	no data found			no data found	Gene mutation: characterised		na	RP	23145092	Pubmed	10.1371/journal.pone.0049123	na	 bob@hancocklab.com	no comments	E B M Breidenstein 2012	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3288	PHI:2656	Uniprot	D0ZPP5	Genbank	ACY89276			14028S	pmrF	no data found					no	28901	Salmonella enterica	90371	serovar Typhimurium JSG210	Food poisoning	Rodents	10090	Mus musculus (related: House mouse)	BALB/c			Peyer’s patches	4-amino-4-deoxy-L-arabinose (Ara4N) production	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23166721	Pubmed	10.1371/journal.pone.0049588	na	gunn.43@osu.edu	Attenuated virulence seen only in mice infected via the oral not the IP route	K L Strandberg 2012	2012	1 gene	Free access from PubMed	Batch022	02/2013	MC																								
Record 3289	PHI:2657	Uniprot	A9CFS9	Genbank	AAK89532			C58	HspL	no data found					no	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	no comments	Y L Tsai	2012	Multi genes	Free access from PubMed	Batch022	02/2013	MC																								
Record 3290	PHI:2658	Uniprot	A9CKC3	Genbank	AAK86192			C58	hspC	no data found					no	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	no comments	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3291	PHI:2659	Uniprot	Q7D412	Genbank	AAK90427			C58	hspAT1	no data found					no	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	no comments	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3292	PHI:2660	Uniprot	Q7D321	Genbank	AAK90824			C58	hspAT2	no data found					no	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	no comments	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3293	PHI:2658	Uniprot	A9CKC3	Genbank	AAK86192			C58	hspC	no data found					PHI:2660	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	no comments	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3294	PHI:2660	Uniprot	Q7D321	Genbank	AAK90824			C58	hspAT2	no data found					PHI:2658	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	no comments	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3295	PHI:2657	Uniprot	A9CFS9	Genbank	AAK89532			C58	HspL	no data found					PHI:2658	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3296	PHI:2657	Uniprot	A9CFS9	Genbank	AAK89532			C58	HspL	no data found					PHI:2659	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3297	PHI:2657	Uniprot	A9CFS9	Genbank	AAK89532			C58	HspL	no data found					PHI:2660	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3298	PHI:2658	Uniprot	A9CKC3	Genbank	AAK86192			C58	hspC	no data found					PHI:2657	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3299	PHI:2659	Uniprot	Q7D412	Genbank	AAK90427			C58	hspAT1	no data found					PHI:2657	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
Record 3300	PHI:2660	Uniprot	Q7D321	Genbank	AAK90824			C58	hspAT2	no data found					PHI:2657	358	Agrobacterium tumefaciens	no data found	NT1RE	Crown gall disease	Eudicots	4113	Solanum tuberosum (related: Potato)	no data found			tuber	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found			no data found	Gene deletion: full		na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	na	emlai@gate.sinica.edu. tw	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels	Y L Tsai	2012		Free access from PubMed	Batch022	02/2013	MC																								
